provnum,Year,BEDCERT,RESTOT,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating,AIDHRD,VOCHRD,RNHRD,TOTLICHRD,TOTHRD,PTHRD,exp_aide,exp_lpn,exp_rn,exp_total,adj_aide,adj_lpn,adj_rn,adj_total,WEIGHTED_ALL_CYCLES_SCORE,incident_cnt,cmplnt_cnt,DeficiencyCount,short_stay_poor_quality,short_stay_good_quality,long_stay_poor_quality,long_stay_good_quality,measure_score_qtravg,OWNERSHIP_For profit,OWNERSHIP_Government,OWNERSHIP_Non profit,CERTIFICATION_Medicaid,CERTIFICATION_Medicare,CERTIFICATION_Medicare and Medicaid,Score_High,ZIPREGION_0,ZIPREGION_1,ZIPREGION_2,ZIPREGION_3,ZIPREGION_4,ZIPREGION_5,ZIPREGION_6,ZIPREGION_7,ZIPREGION_8,ZIPREGION_9
45290,2020,110,99,4,3,5,3,2,2.71123,0.8638,0.31374,1.17754,3.88878,0.00516,2.07342,0.63689,0.30367,3.01398,2.69948,1.00036,0.39899,4.11355,72,0,0,22,3,1,4,10,32.66313217,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45290,2021,110,83.6,4,3,5,3,2,2.88214,0.96466,0.32788,1.29254,4.17468,0.00603,2.01314,0.64729,0.27713,2.93756,2.94415,1.10474,0.45147,4.51827,58,0,0,25,3,1,5,9,34.30033022,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45295,2020,114,56,2,2,2,3,3,2.41516,0.89352,0.45498,1.3485,3.76366,0.018,2.03,0.67123,0.30024,3.00147,2.45612,0.98184,0.58522,3.9978,73.333,0,1,22,3,1,6,8,28.58653672,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45295,2021,114,56,2,2,2,3,3,2.41516,0.89352,0.45498,1.3485,3.76366,0.018,2.03,0.67123,0.30024,3.00147,2.45612,0.98184,0.58522,3.9978,73.333,0,1,22,3,1,6,8,28.58653672,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45297,2020,70,60.5,5,5,4,3,2,2.47143,0.89136,0.32413,1.21549,3.68692,0.00667,1.98376,0.61554,0.29525,2.89455,2.57194,1.06808,0.42394,4.06094,13.333,0,0,5,3,1,5,9,32.49628939,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45297,2021,70,53.7,5,4,5,3,3,2.33422,0.90531,0.46469,1.37,3.70422,0.01503,1.91133,0.61916,0.32135,2.85185,2.51145,1.08387,0.55179,4.12958,55.333,0,6,14,3,1,5,9,29.28083078,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45300,2020,140,99.6,3,3,3,2,2,2.28181,0.83937,0.27319,1.11255,3.39436,0.04887,2.07213,0.6633,0.30506,3.04048,2.27333,0.93336,0.34583,3.55925,50.667,0,4,19,3,1,4,10,33.48533217,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45300,2021,140,101.7,3,3,2,3,3,2.1624,0.7126,0.40598,1.11858,3.28098,0.04385,2.01335,0.6396,0.28983,2.94278,2.20869,0.82589,0.53451,3.54471,67.333,0,1,26,3,1,5,9,35.09595039,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45302,2020,80,64.2,3,2,5,2,2,2.42546,1.03267,0.23343,1.2661,3.69156,0.03564,2.02306,0.64442,0.26886,2.93635,2.47505,1.18195,0.33528,4.00817,76,0,0,32,3,1,4,10,31.38905556,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45302,2021,80,64.2,3,2,5,2,2,2.42546,1.03267,0.23343,1.2661,3.69156,0.03564,2.02306,0.64442,0.26886,2.93635,2.47505,1.18195,0.33528,4.00817,76,0,0,32,3,1,4,10,31.38905556,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45303,2020,100,64.4,2,1,3,4,4,2.45634,1.20399,0.55975,1.76375,4.22009,0.04088,1.77869,0.63327,0.27812,2.69007,2.85095,1.40232,0.77723,5.00151,145.333,0,8,50,3,1,3,11,23.60272117,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45303,2021,100,64.4,2,1,3,4,4,2.45634,1.20399,0.55975,1.76375,4.22009,0.04088,1.77869,0.63327,0.27812,2.69007,2.85095,1.40232,0.77723,5.00151,145.333,0,8,50,3,1,3,11,23.60272117,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
